Kod;Nazwa;Rok;Kategoria;Jednostka;Value
200000;DOLNOŚLĄSKIE;2005;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji razem;-;18790.0
200000;DOLNOŚLĄSKIE;2005;przeciwko mieniu;-;70946.0
200000;DOLNOŚLĄSKIE;2005;przeciwko rodzinie i opiece;-;2441.0
200000;DOLNOŚLĄSKIE;2005;przeciwko wolności, wolności sumienia, wolności seksualnej i obyczajności razem;-;4528.0
200000;DOLNOŚLĄSKIE;2005;przeciwko życiu i zdrowiu;-;2560.0
200000;DOLNOŚLĄSKIE;2006;o charakterze gospodarczym;-;11662.0
200000;DOLNOŚLĄSKIE;2006;o charakterze kryminalnym;-;83929.0
200000;DOLNOŚLĄSKIE;2006;ogółem;-;119466.0
200000;DOLNOŚLĄSKIE;2006;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji - drogowe;-;19356.0
200000;DOLNOŚLĄSKIE;2006;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji razem;-;19645.0
200000;DOLNOŚLĄSKIE;2006;przeciwko mieniu;-;67122.0
200000;DOLNOŚLĄSKIE;2006;przeciwko rodzinie i opiece;-;2760.0
200000;DOLNOŚLĄSKIE;2006;przeciwko wolności, wolności sumienia, wolności seksualnej i obyczajności razem;-;4601.0
200000;DOLNOŚLĄSKIE;2006;przeciwko życiu i zdrowiu;-;2612.0
200000;DOLNOŚLĄSKIE;2007;o charakterze gospodarczym;-;11979.0
200000;DOLNOŚLĄSKIE;2007;o charakterze kryminalnym;-;81241.0
200000;DOLNOŚLĄSKIE;2007;ogółem;-;112777.0
200000;DOLNOŚLĄSKIE;2007;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji - drogowe;-;15308.0
200000;DOLNOŚLĄSKIE;2007;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji razem;-;15506.0
200000;DOLNOŚLĄSKIE;2007;przeciwko mieniu;-;66438.0
200000;DOLNOŚLĄSKIE;2007;przeciwko rodzinie i opiece;-;2658.0
200000;DOLNOŚLĄSKIE;2007;przeciwko wolności, wolności sumienia, wolności seksualnej i obyczajności razem;-;4670.0
200000;DOLNOŚLĄSKIE;2007;przeciwko życiu i zdrowiu;-;2751.0
200000;DOLNOŚLĄSKIE;2008;o charakterze gospodarczym;-;12006.0
200000;DOLNOŚLĄSKIE;2008;o charakterze kryminalnym;-;74271.0
200000;DOLNOŚLĄSKIE;2008;ogółem;-;105351.0
200000;DOLNOŚLĄSKIE;2008;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji - drogowe;-;15405.0
200000;DOLNOŚLĄSKIE;2008;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji razem;-;15574.0
200000;DOLNOŚLĄSKIE;2008;przeciwko mieniu;-;60660.0
200000;DOLNOŚLĄSKIE;2008;przeciwko rodzinie i opiece;-;2440.0
