Nr punktu;Miejscowość;Data poboru;Objętość wody, litry ;Osady denne, gsm;Masa do pomiaru Cs-137, g;Gęstość gcm-3; Cs-137 w osadach dennych, Bqkg-1 ; Całkowita Względna Niepewność Bq/kg ; Pu-239+240 mBq kg-1 ; Całkowita Względna Niepewnośc mBq/kg  ;Pu-238 mBq kg-1; Całkowita Względna Niepewność mBq/kg  ; Pu-238/Pu-239+240 ;Cs-137 w wodzie, mBq/l;Całkowita Względna Niepewność mBq/l;Sr-90 w wodzie, mBq/l;Całkowita Względna Niepewność mBq/l;Sr-90/Cs-137
2;Annopol;06.10.2009;20;1000;666,68;1,48;1,48;0,16;19,4;5,81;-;-;-;2,82;0,31;2,78;0,28;0,99
3;Warszawa;08.09.2009;20;1020;621,79;1,38;4,38;0,42;20,1;4,6;<2;-;-;3,24;0,34;3,37;0,31;1,04
4;Płock;17.09.2009;20;1400;724,38;1,61;0,28;0,04;7,14;3,36;<2;-;-;2,8;0,3;3,25;0,3;1,16
5;Kiezmark;17.09.2009;20;1200;750,94;1,67;0,86;0,04;7,74;3,65;<2;-;-;2,37;0,33;3,34;0,31;1,43
6;Pułtusk;08.09.2009;20;1050;656,38;1,46;6,87;0,64;23,3;6,13;4,16;3,22;0,178;2,23;0,26;3,28;0,29;1,47
7;Wyszków ;08.09.2009;20;1100;641,54;1,43;2,33;0,24;7,44;1,72;<2;-;-;2,44;0,28;3,19;0,28;1,31
8;Chałupki ;05.10.2009;20;1200;518,71;1,15;10;1,07;47,4;6,12;4,6;2;0,097;4,13;0,39;4,7;0,38;1,14
9;Wrocław;04.10.2009;20;900;719,29;1,6;0,81;0,08;5,86;3,4;<2;-;-;4,94;0,46;5,67;0,41;1,15
10;Głogów ;11.10.2009;20;1000;678,32;1,51;4,36;0,42;30,1;10,3;<2;-;-;3,36;0,35;4,47;0,35;1,32
11;Krajnik;09.10.2009;20;750;705,75;1,57;0,35;0,04;16;5,47;<2;-;-;2,39;0,27;3,28;0,2;1,39
12;Poznań;10.10.2009;20;750;677,21;1,5;0,68;0,07;8,37;3,97;2,74;2,62;0,327;1,14;0,18;3,2;0,28;2,81
13;Drawsko;09.10.2009;20;800;687,43;1,53;1,43;0,14;2,42;2,35;<2;-;-;2,28;0,26;3,31;0,28;1,45
14;Wadąg;18.09.2009;20;1100;688,55;1,53;11,2;1,03;25;4,67;4,64;3,36;0,186;3,63;0,37;2,8;0,28;0,77
15;Wielkie Partęczyny;17.09.2009;20;1300;684,88;1,52;7,59;0,7;12,6;5,07;<2;-;-;2,58;0,28;2,31;0,25;0,89
16;Rogóźno;06.10.2009;20;700;494,83;1,1;76,3;6,94;53,8;5,75;<2;-;-;6,57;0,55;9,96;0,57;1,52
17;Niesłysz;10.10.2009;20;750;699,05;1,55;5,62;0,52;69,2;15;4,04;2,19;0,058;2,78;0,31;1,49;0,19;0,54
18;Wigry;18.09.2009;20;1000;734,78;1,63;4,65;0,44;11,1;5,31;<2;-;-;2,84;0,31;1,57;0,19;0,55
1;Kraków Tyniec;17.07.2010;20;1000;664,97;1,48;0,81;0,06;36,4;9,26;6,01;3,28;0,17;2,49;0,22;2,93;0,25;1,18
2;Annopol;17.07.2010;20;1000;621,42;1,38;1,14;0,17;34,83;5,25;2,17;1,97;0,06;0,96;0,11;2,99;0,23;3,11
3;Warszawa;21.07.2010;20;1000;619;1,38;3,44;0,52;21,04;3,77;2,15;1,98;0,1;2,99;0,22;3,53;0,28;1,18
4;Płock;19.07.2010;20;1000;798,37;1,77;1,03;0,16;10,4;6,42;2,67;1,79;0,26;0,9;0,12;3,94;0,32;4,38
5;Kiezmark;29.05.2010;20;1000;714,33;1,59;0,66;0,04;46,77;10,7;2,18;1,28;0,05;0,85;0,12;3,18;0,25;3,74
6;Pułtusk;19.07.2010;20;1000;729,59;1,62;3,46;0,52;20,35;3,79;8,78;3,66;0,43;0,71;0,1;3,39;0,27;4,77
7;Wyszków;19.07.2010;20;1000;642,59;1,43;3,12;0,11;23,4;3,13;4,37;1,88;0,19;1,56;0,17;3,34;0,26;2,14
8;Chałupki;16.07.2010;20;1000;324,84;0,72;17,57;0,56;238,8;6,77;<2;;;2,49;0,2;2,44;0,22;0,98
9;Wrocław;14.07.2010;20;1000;747,6;1,66;1,42;0,21;22,32;4,43;<2;;;2,46;0,23;2,92;0,24;1,19
10;Głogów;14.07.2010;20;1000;465,44;1,03;6,88;1,03;35,74;6,69;9,9;3,97;0,28;1,79;0,18;3,37;0,27;1,88
11;Krajnik;13.07.2010;20;1000;749,72;1,67;0,31;0,03;10,56;4,66;3,02;1,98;0,29;1,27;0,15;3,36;0,28;2,65
12;Poznań;13.07.2010;20;1000;541,87;1,2;2,26;0,02;61,81;19,2;8,14;3,67;0,13;1,59;0,17;4,46;0,33;2,81
13;Wigry;28.05.2010;20;1000;762,88;1,7;2,45;0,31;3,84;2,87;<2;;;4,08;0,26;2,29;0,22;0,56
14;Wadąg;28.05.2010;20;1000;584,16;1,3;8,03;1,2;80,4;16,9;3,03;2,01;0,04;1,34;0,14;3,03;0,24;2,26
15;Wielkie;29.05.2010;20;1000;665,48;1,48;10,12;1,2;<2;;<2;;;1,57;0,16;1,78;0,18;1,13
16;Drawsko;17.06.2010;20;1000;669,75;1,49;3,49;0,47;6,54;4,42;<2;;;0,76;0,11;2,34;0,21;3,08
