Województwo,Miejscowość,Nazwa punktu pomiarowego,Współrz. pp WGS84 (dł. geogr.),Współrz. pp WGS84 (szer. geogr.),Cel pomiaru,Data rozpoczęcia,Data zakończenia,Nazwa odcinka drogi,Kod punktu pomiarowego,Czas odniesienia,Laeq po korekcie [dB]
dolnośląskie,Bolesławiec,al. 1000-lecia,"15,583008","51,260757","Państwowy monitoring środowiska, art. 26 Poś",2018-01-01 00:00:00,2018-12-31 23:59:00,"Bolesławiec, al. 1000-lecia (szpital)",D_02_000167_001,Wieczór 4h,"63,8"
dolnośląskie,Bolesławiec,al. 1000-lecia,"15,583008","51,260757","Państwowy monitoring środowiska, art. 26 Poś",2018-01-01 00:00:00,2018-12-31 23:59:00,"Bolesławiec, al. 1000-lecia (szpital)",D_02_000167_001,Wieczór 4h,"63,9"
dolnośląskie,Bolesławiec,al. 1000-lecia,"15,583008","51,260757","Państwowy monitoring środowiska, art. 26 Poś",2018-01-01 00:00:00,2018-12-31 23:59:00,"Bolesławiec, al. 1000-lecia (szpital)",D_02_000167_001,Wieczór 4h,"66,2"
dolnośląskie,Braszowice,PDH1,"16,799111","50,554694",Pomiar w trybie art.175 ust.3 Poś (przebudowa),2018-07-24 15:00:00,2018-07-25 15:00:00,Braszowice,D_02_000356_003,Dzień 16h,"55,2"
dolnośląskie,Braszowice,PDH1,"16,799111","50,554694",Pomiar w trybie art.175 ust.3 Poś (przebudowa),2018-07-24 15:00:00,2018-07-25 15:00:00,Braszowice,D_02_000356_003,Noc 8h,"48,9"
dolnośląskie,Braszowice,PDH2,"16,798694","50,554389",Pomiar w trybie art.175 ust.3 Poś (przebudowa),2018-07-24 15:00:00,2018-07-25 15:00:00,Braszowice,D_02_000356_004,Dzień 16h,"59,8"
dolnośląskie,Braszowice,PDH2,"16,798694","50,554389",Pomiar w trybie art.175 ust.3 Poś (przebudowa),2018-07-24 15:00:00,2018-07-25 15:00:00,Braszowice,D_02_000356_004,Noc 8h,"54,7"
dolnośląskie,Braszowice,PDH3,"16,798889","50,554",Pomiar w trybie art.175 ust.3 Poś (przebudowa),2018-07-24 15:00:00,2018-07-25 15:00:00,Braszowice,D_02_000356_005,Dzień 16h,"56,4"
dolnośląskie,Braszowice,PDH3,"16,798889","50,554",Pomiar w trybie art.175 ust.3 Poś (przebudowa),2018-07-24 15:00:00,2018-07-25 15:00:00,Braszowice,D_02_000356_005,Noc 8h,"51,9"
dolnośląskie,Braszowice,PDH4,"16,798389","50,554111",Pomiar w trybie art.175 ust.3 Poś (przebudowa),2018-07-24 15:00:00,2018-07-25 15:00:00,Braszowice,D_02_000356_006,Dzień 16h,"58,9"
dolnośląskie,Braszowice,PDH4,"16,798389","50,554111",Pomiar w trybie art.175 ust.3 Poś (przebudowa),2018-07-24 15:00:00,2018-07-25 15:00:00,Braszowice,D_02_000356_006,Noc 8h,"53,5"
dolnośląskie,Braszowice,PDH5,"16,798111","50,554389",Pomiar w trybie art.175 ust.3 Poś (przebudowa),2018-07-24 15:00:00,2018-07-25 15:00:00,Braszowice,D_02_000356_007,Dzień 16h,"70,4"
dolnośląskie,Braszowice,PDH5,"16,798111","50,554389",Pomiar w trybie art.175 ust.3 Poś (przebudowa),2018-07-24 15:00:00,2018-07-25 15:00:00,Braszowice,D_02_000356_007,Noc 8h,"67,6"
dolnośląskie,Braszowice,PDH6,"16,798194","50,554111",Pomiar w trybie art.175 ust.3 Poś (przebudowa),2018-07-24 15:00:00,2018-07-25 15:00:00,Braszowice,D_02_000356_008,Dzień 16h,"70,1"
dolnośląskie,Braszowice,PDH6,"16,798194","50,554111",Pomiar w trybie art.175 ust.3 Poś (przebudowa),2018-07-24 15:00:00,2018-07-25 15:00:00,Braszowice,D_02_000356_008,Noc 8h,"67,2"
dolnośląskie,Braszowice,PDH7,"16,797389","50,554694",Pomiar w trybie art.175 ust.3 Poś (przebudowa),2018-07-24 15:00:00,2018-07-25 15:00:00,Braszowice,D_02_000356_009,Dzień 16h,62
dolnośląskie,Braszowice,PDH7,"16,797389","50,554694",Pomiar w trybie art.175 ust.3 Poś (przebudowa),2018-07-24 15:00:00,2018-07-25 15:00:00,Braszowice,D_02_000356_009,Noc 8h,"59,5"
dolnośląskie,Braszowice,PDH8,"16,797306","50,554194",Pomiar w trybie art.175 ust.3 Poś (przebudowa),2018-07-24 15:00:00,2018-07-25 15:00:00,Braszowice,D_02_000356_002,Dzień 16h,"60,4"
dolnośląskie,Braszowice,PDH8,"16,797306","50,554194",Pomiar w trybie art.175 ust.3 Poś (przebudowa),2018-07-24 15:00:00,2018-07-25 15:00:00,Braszowice,D_02_000356_002,Noc 8h,"57,2"
