Województwo,Miejscowość,Kod punktu pomiarowego,Nazwa punktu pomiarowego,Współrz. pp WGS84 (dł. geogr.),Współrz. pp WGS84 (szer. geogr.),Cel pomiaru,Data rozpoczęcia,Data zakończenia,Nazwa odcinka drogi,Czas odniesienia,Laeq po korekcie [dB]
dolnośląskie,Lądek-Zdrój,D_02_000504_001,"Lądek Zdrój, ul. Kłodzka 57","16,857167","50,342556","Państwowy monitoring środowiska, art. 26 Poś",2022-06-30 06:00:00,2022-07-01 06:00:00,droga wojewódzka nr 392_Lądek Zdrój,Dzień 16h,63
dolnośląskie,Lądek-Zdrój,D_02_000504_001,"Lądek Zdrój, ul. Kłodzka 57","16,857167","50,342556","Państwowy monitoring środowiska, art. 26 Poś",2022-06-30 06:00:00,2022-07-01 06:00:00,droga wojewódzka nr 392_Lądek Zdrój,Noc 8h,"53,6"
dolnośląskie,Nadolice Wielkie,D_02_000511_001,"Nadolice Wielkie, ul. Wrocławska/Topolowa 1","17,245361","51,080611","Państwowy monitoring środowiska, art. 26 Poś",2022-05-26 06:00:00,2022-05-27 06:00:00,droga powiatowa_Nadolice Wielkie,Dzień 16h,"59,3"
dolnośląskie,Nadolice Wielkie,D_02_000511_001,"Nadolice Wielkie, ul. Wrocławska/Topolowa 1","17,245361","51,080611","Państwowy monitoring środowiska, art. 26 Poś",2022-05-26 06:00:00,2022-05-27 06:00:00,droga powiatowa_Nadolice Wielkie,Noc 8h,"54,8"
dolnośląskie,Ogorzelec,D_02_000517_001,Ogorzelec 99,"15,898333","50,768056","Państwowy monitoring środowiska, art. 26 Poś",2022-11-13 06:00:00,2022-11-14 06:00:00,droga wojewódzka nr 367_Ogorzelec 99,Dzień 16h,"61,9"
dolnośląskie,Ogorzelec,D_02_000517_001,Ogorzelec 99,"15,898333","50,768056","Państwowy monitoring środowiska, art. 26 Poś",2022-11-13 06:00:00,2022-11-14 06:00:00,droga wojewódzka nr 367_Ogorzelec 99,Noc 8h,"49,4"
dolnośląskie,Stronie Śląskie,D_02_000505_001,"Stronie Śląskie, ul. Kościuszki 57","16,876139","50,28975","Państwowy monitoring środowiska, art. 26 Poś",2022-07-06 22:00:00,2022-07-07 22:00:00,droga powiatowa_Stronie Śląskie,Dzień 16h,"59,9"
dolnośląskie,Stronie Śląskie,D_02_000505_001,"Stronie Śląskie, ul. Kościuszki 57","16,876139","50,28975","Państwowy monitoring środowiska, art. 26 Poś",2022-07-06 22:00:00,2022-07-07 22:00:00,droga powiatowa_Stronie Śląskie,Noc 8h,"51,8"
dolnośląskie,Stronie Śląskie,D_02_000506_001,"Stronie Śląskie, Wieś 55","16,863806","50,290556","Państwowy monitoring środowiska, art. 26 Poś",2022-07-11 06:00:00,2022-07-12 06:00:00,droga wojewódzka nr 392_Stronie Śląskie Wieś 55,Dzień 16h,"59,1"
dolnośląskie,Stronie Śląskie,D_02_000506_001,"Stronie Śląskie, Wieś 55","16,863806","50,290556","Państwowy monitoring środowiska, art. 26 Poś",2022-07-11 06:00:00,2022-07-12 06:00:00,droga wojewódzka nr 392_Stronie Śląskie Wieś 55,Noc 8h,"48,5"
dolnośląskie,Żelazno,D_02_000502_001,Żelazno 12a,"16,680194","50,369333","Państwowy monitoring środowiska, art. 26 Poś",2022-06-14 06:00:00,2022-06-15 06:00:00,droga wojewódzka nr 392_Żelazno 12a,Dzień 16h,"63,9"
dolnośląskie,Żelazno,D_02_000502_001,Żelazno 12a,"16,680194","50,369333","Państwowy monitoring środowiska, art. 26 Poś",2022-06-14 06:00:00,2022-06-15 06:00:00,droga wojewódzka nr 392_Żelazno 12a,Noc 8h,"58,3"
dolnośląskie,Żórawina,D_02_000512_001,"Żórawina, al. Niepodległości 55","17,034722","50,981194","Państwowy monitoring środowiska, art. 26 Poś",2022-05-11 06:00:00,2022-05-12 06:00:00,"droga powiatowa_Żórawina, ul. Niepodległości",Dzień 16h,"67,2"
dolnośląskie,Żórawina,D_02_000512_001,"Żórawina, al. Niepodległości 55","17,034722","50,981194","Państwowy monitoring środowiska, art. 26 Poś",2022-05-11 06:00:00,2022-05-12 06:00:00,"droga powiatowa_Żórawina, ul. Niepodległości",Noc 8h,"58,2"
dolnośląskie,Żórawina,D_02_000513_001,"Żórawina, ul. Wrocławska/Owocowa 2","17,0375","50,985639","Państwowy monitoring środowiska, art. 26 Poś",2022-07-27 06:00:00,2022-07-28 06:00:00,"droga powiatowa_Żórawina, Wrocławska",Dzień 16h,"53,8"
dolnośląskie,Żórawina,D_02_000513_001,"Żórawina, ul. Wrocławska/Owocowa 2","17,0375","50,985639","Państwowy monitoring środowiska, art. 26 Poś",2022-07-27 06:00:00,2022-07-28 06:00:00,"droga powiatowa_Żórawina, Wrocławska",Noc 8h,"44,8"
kujawsko-pomorskie,,D_04_000241_001,"P13, Warlubie","18,609722","53,585583",Pomiar w trybie art.175 ust.1 Poś (pomiary okresowe),2022-03-03 14:00:00,2022-03-04 14:00:00,"A1, sekcja 6, Warlubie - Nowe Marzy",Dzień 16h,"75,8"
